nombre,documento,fondo,institucion,motivo,fecha
Santiago,1694169294,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1923101197,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1276490592,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1557522201,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juana,1738308260,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1888346863,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1074650487,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1190548792,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1775361777,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1962150110,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Nicolas,1212665433,Porvenir,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Espinoza,1235603668,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1397038707,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1235184289,Old Mutual,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Santiago,1268741462,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1742797596,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1544470745,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1657369787,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
