Nombre,Documento,Edad,Semanas_Cotizadas,Fondo,Ciudad,Pais
Isabel,5259150632,28,54,Colfondos,Manila,Filipinas
Jorge,2786772154,27,524,Porvenir,Roma,Italia
Jorge,1591285661,92,145,Colfondos,Bangkok,Tailandia
Alejandro,5704196695,77,355,Colfondos,Abu Dabi,Emiratos Árabes Unidos
Elena,2491629116,99,188,Old Mutual,Abu Dabi,Emiratos Árabes Unidos
Pablo,8703839309,91,461,Old Mutual,Bangkok,Tailandia
Carlos,1184162773,29,621,Old Mutual,Cartagena,Colombia
Mariana,2452185216,28,472,Colfondos,Cartagena,Colombia
Mariana,6483318025,92,583,Porvenir,París,Francia
Elena,9291464548,36,107,Skandia,París,Francia
Pablo,2364752600,44,663,Old Mutual,Singapur,Singapur
Mariana,1902231987,70,55,Colfondos,Madrid,España
Mariana,3442792807,33,202,Colfondos,Cartagena,Colombia
Monica,2218813759,44,502,Colfondos,Bangkok,Tailandia
Mariana,2975236114,92,561,Porvenir,Barcelona,España
Carlos,8526079155,94,166,Protección,Roma,Italia
Lucia,6628267926,89,678,Colfondos,Manila,Filipinas
Jorge,9112289445,62,569,Porvenir,Manila,Filipinas
Lucia,5698264091,83,420,Porvenir,Bangkok,Tailandia
Lucia,6456974327,78,43,Colfondos,Bangkok,Tailandia
Mariana,7213023238,24,72,Protección,París,Francia
Jorge,7392777911,69,178,Protección,Manila,Filipinas
Lucia,3089500572,59,70,Colfondos,Roma,Italia
Alejandro,6646652973,94,494,Colfondos,Roma,Italia
Pablo,7692274305,66,668,Protección,Roma,Italia
Alejandro,8418875088,67,296,Colfondos,Bangkok,Tailandia
Pablo,8675408297,48,330,Colfondos,Barcelona,España
Monica,7903060564,39,211,Skandia,Roma,Italia
Mariana,6242050883,42,87,Porvenir,Abu Dabi,Emiratos Árabes Unidos
Carlos,5089759659,37,723,Skandia,Abu Dabi,Emiratos Árabes Unidos
Mariana,2526772011,88,325,Skandia,Londres,Reino Unido
Carlos,2347491583,31,757,Skandia,Singapur,Singapur
Monica,7119060099,89,316,Old Mutual,Londres,Reino Unido
Jorge,2429176607,65,261,Protección,Manila,Filipinas
Carlos,1478944585,100,788,Colfondos,París,Francia
Mariana,1695675166,92,249,Colfondos,Manila,Filipinas
Lucia,7109778087,91,148,Porvenir,Cartagena,Colombia
Isabel,1652526384,70,435,Porvenir,París,Francia
Isabel,4125647150,59,556,Protección,Cartagena,Colombia
Alejandro,1145766080,63,733,Protección,Londres,Reino Unido
Isabel,9262435292,82,635,Protección,Barcelona,España
Mariana,7179763642,34,52,Colfondos,Manila,Filipinas
Monica,1559493021,52,118,Protección,Londres,Reino Unido
Elena,8162131941,20,220,Colfondos,Barcelona,España
Isabel,2672664808,58,631,Skandia,Barcelona,España
Carlos,1955364490,69,437,Old Mutual,Abu Dabi,Emiratos Árabes Unidos
Lucia,6624535085,81,247,Protección,París,Francia
Isabel,1123749244,88,160,Colfondos,Cartagena,Colombia
Pablo,9730525632,62,126,Skandia,Singapur,Singapur
Monica,7841663858,71,562,Old Mutual,Roma,Italia
Isabel,8365422411,65,112,Porvenir,Madrid,España
Monica,8573175923,23,696,Colfondos,Barcelona,España
Lucia,7075320163,42,533,Protección,Cartagena,Colombia
Mariana,2949195192,27,458,Protección,Madrid,España
Lucia,5232060336,64,414,Skandia,París,Francia
Elena,8140756148,99,256,Old Mutual,Manila,Filipinas
Isabel,2809598656,41,646,Old Mutual,Roma,Italia
Ana,9344969209,87,342,Skandia,Abu Dabi,Emiratos Árabes Unidos
Monica,4803515439,94,629,Porvenir,Manila,Filipinas
Isabel,8624477458,68,333,Skandia,Londres,Reino Unido
Elena,4126250755,39,554,Skandia,Manila,Filipinas
Lucia,9917726335,96,39,Protección,Bangkok,Tailandia
Alejandro,6852792369,20,41,Skandia,Roma,Italia
Monica,9973411272,36,168,Protección,Roma,Italia
Monica,2803260513,51,360,Porvenir,Bangkok,Tailandia
Isabel,8859078120,94,797,Old Mutual,Barcelona,España
Pablo,8106867020,100,732,Old Mutual,Bangkok,Tailandia
Mariana,8841654281,97,109,Colfondos,Singapur,Singapur
Jorge,6379225170,33,114,Colfondos,Manila,Filipinas
Isabel,9104472156,37,795,Protección,Cartagena,Colombia
Pablo,6975214247,26,354,Colfondos,Madrid,España
Isabel,2327215204,68,138,Skandia,Barcelona,España
Mariana,4516211903,87,231,Skandia,Madrid,España
Pablo,8135173693,60,197,Colfondos,Madrid,España
Ana,1599156026,38,251,Old Mutual,Singapur,Singapur
Alejandro,2665745754,86,408,Colfondos,Bangkok,Tailandia
Mariana,8892609771,39,160,Skandia,Abu Dabi,Emiratos Árabes Unidos
Lucia,1737848688,54,391,Porvenir,Londres,Reino Unido
Pablo,8177068754,58,446,Skandia,Bangkok,Tailandia
Mariana,4905618499,99,461,Protección,París,Francia
Carlos,2181839082,77,359,Skandia,Singapur,Singapur
Isabel,9447445673,37,529,Skandia,Roma,Italia
Jorge,3606964797,87,444,Old Mutual,París,Francia
Monica,3740030638,24,701,Colfondos,Abu Dabi,Emiratos Árabes Unidos
Alejandro,3891716180,75,12,Porvenir,Abu Dabi,Emiratos Árabes Unidos
Elena,4077078618,93,413,Colfondos,Manila,Filipinas
Monica,6944993315,30,24,Porvenir,Madrid,España
Mariana,3638219024,43,150,Protección,Bangkok,Tailandia
Lucia,7933364321,94,386,Old Mutual,Madrid,España
Mariana,9547417286,83,114,Old Mutual,Abu Dabi,Emiratos Árabes Unidos
Carlos,4981340802,78,382,Old Mutual,Londres,Reino Unido
Monica,9778316695,31,313,Protección,Singapur,Singapur
Jorge,8079557121,55,571,Colfondos,Abu Dabi,Emiratos Árabes Unidos
Jorge,2722763212,90,16,Porvenir,Cartagena,Colombia
Jorge,8712246101,84,330,Porvenir,Madrid,España
Isabel,1279573697,61,673,Old Mutual,Londres,Reino Unido
Elena,8688548057,39,796,Porvenir,Barcelona,España
