,Nombre,Documento,Edad,Semanas_Cotizadas,Fondo,Ciudad,Pais,Detalles,Genero,En_Lista_Negra_6_Meses,Pre_pensionado
0,Isabel,5259150632,28,54,Mininterior,Manila,Filipinas,No tiene observación disciplinaria,Femenino,False,True
1,Jorge,2786772154,27,524,Porvenir,Roma,Italia,,Masculino,False,True
2,Jorge,1591285661,92,145,Protección,Bangkok,Tailandia,,Femenino,False,False
3,Alejandro,5704196695,77,355,Inpec,Abu Dabi,Emiratos Árabes Unidos,Tiene hijos en el Inpec|No tiene condecoración,Femenino,False,False
4,Elena,2491629116,99,188,Armada,Abu Dabi,Emiratos Árabes Unidos,Tiene condecoración,Femenino,False,False
5,Pablo,8703839309,91,461,Inpec,Bangkok,Tailandia,Tiene hijos en el Inpec|Tiene condecoración,Masculino,True,True
6,Carlos,1184162773,29,621,Inpec,Medellín,Colombia,No tiene hijos en el Inpec|Tiene condecoración,Masculino,False,False
7,Mariana,2452185216,28,472,Fondo extranjero,Cartagena,Colombia,,Femenino,False,False
8,Mariana,6483318025,92,583,Porvenir,París,Francia,,Femenino,True,True
9,Elena,9291464548,36,107,Protección,París,Francia,,Femenino,True,False
10,Pablo,2364752600,44,663,Minsalud,Singapur,Singapur,Tiene observación disciplinaria,Femenino,False,False
11,Mariana,1902231987,70,55,Protección,Madrid,España,,Femenino,False,False
12,Mariana,3442792807,33,202,Protección,Cartagena,Colombia,,Femenino,False,False
13,Monica,2218813759,44,502,Armada,Bangkok,Tailandia,Tiene condecoración,Femenino,False,False
14,Mariana,2975236114,92,561,Policía,Barcelona,España,Tiene familiares en la Policía|No es el de mayor edad,Femenino,False,True
15,Carlos,8526079155,94,166,Armada,Roma,Italia,Tiene condecoración,Masculino,True,True
16,Lucia,6628267926,89,678,Policía,Manila,Filipinas,Tiene familiares en la Policía|No es el de mayor edad,Masculino,False,False
17,Jorge,9112289445,62,569,Minsalud,Manila,Filipinas,No tiene observación disciplinaria,Masculino,True,True
18,Lucia,5698264091,83,420,Protección,Bangkok,Tailandia,,Masculino,True,True
19,Lucia,6456974327,78,43,Policía,Bangkok,Tailandia,Tiene familiares en la Policía|No es el de mayor edad,Femenino,False,False
20,Mariana,7213023238,24,72,Fondo extranjero,París,Francia,,Masculino,True,False
21,Jorge,7392777911,69,178,Colfondos,Manila,Filipinas,,Femenino,True,False
22,Lucia,3089500572,59,70,Minsalud,Roma,Italia,No tiene observación disciplinaria,Masculino,False,True
23,Alejandro,6646652973,94,494,Minsalud,Roma,Italia,No tiene observación disciplinaria,Masculino,False,True
24,Pablo,7692274305,66,668,Fondo extranjero,Roma,Italia,,Masculino,True,False
25,Alejandro,8418875088,67,296,Armada,Bangkok,Tailandia,Tiene condecoración,Femenino,False,False
26,Pablo,8675408297,48,330,Policía,Barcelona,España,Tiene familiares en la Policía|No es el de mayor edad,Femenino,True,True
27,Monica,7903060564,39,211,Fondo extranjero,Roma,Italia,,Masculino,False,False
28,Mariana,6242050883,42,87,Mininterior,Abu Dabi,Emiratos Árabes Unidos,No tiene observación disciplinaria,Femenino,True,True
29,Carlos,5089759659,37,723,Protección,Abu Dabi,Emiratos Árabes Unidos,,Femenino,False,True
30,Mariana,2526772011,88,325,Protección,Londres,Reino Unido,,Masculino,True,True
31,Carlos,2347491583,31,757,Fondo extranjero,Singapur,Singapur,,Masculino,True,False
32,Monica,7119060099,89,316,Inpec,Londres,Reino Unido,Tiene hijos en el Inpec|Tiene condecoración,Femenino,False,True
33,Jorge,2429176607,65,261,Mininterior,Manila,Filipinas,Tiene observación disciplinaria,Masculino,True,True
34,Carlos,1478944585,100,788,Old Mutual,París,Francia,,Masculino,True,True
35,Mariana,1695675166,92,249,Policía,Manila,Filipinas,Tiene familiares en la Policía|No es el de mayor edad,Masculino,True,False
36,Lucia,7109778087,91,148,Protección,Cartagena,Colombia,,Femenino,True,True
37,Isabel,1652526384,70,435,Inpec,París,Francia,No tiene hijos en el Inpec|Tiene condecoración,Masculino,False,False
38,Isabel,4125647150,59,556,Mininterior,Cartagena,Colombia,Tiene observación disciplinaria,Masculino,True,True
39,Alejandro,1145766080,63,733,Policía,Londres,Reino Unido,Tiene familiares en la Policía|No es el de mayor edad,Masculino,True,True
40,Isabel,9262435292,82,635,Armada,Barcelona,España,Tiene condecoración,Masculino,False,False
41,Mariana,7179763642,34,52,Armada,Manila,Filipinas,Tiene condecoración,Femenino,True,True
42,Monica,1559493021,52,118,Minsalud,Londres,Reino Unido,Tiene observación disciplinaria,Masculino,True,False
43,Elena,8162131941,20,220,Armada,Barcelona,España,No tiene condecoración,Femenino,True,True
44,Isabel,2672664808,58,631,Old Mutual,Barcelona,España,,Femenino,False,False
45,Carlos,1955364490,69,437,Protección,Abu Dabi,Emiratos Árabes Unidos,,Femenino,True,False
46,Lucia,6624535085,81,247,Mininterior,París,Francia,Tiene observación disciplinaria,Masculino,False,True
47,Isabel,1123749244,88,160,Colfondos,Cartagena,Colombia,,Masculino,True,True
48,Pablo,9730525632,62,126,Colfondos,Singapur,Singapur,,Masculino,True,True
49,Monica,7841663858,71,562,Minsalud,Roma,Italia,No tiene observación disciplinaria,Masculino,True,True
50,Isabel,8365422411,65,112,Inpec,Madrid,España,Tiene hijos en el Inpec|No tiene condecoración,Femenino,True,True
51,Monica,8573175923,23,696,Inpec,Barcelona,España,Tiene hijos en el Inpec|Tiene condecoración,Masculino,True,False
52,Lucia,7075320163,42,533,Inpec,Cartagena,Colombia,Tiene hijos en el Inpec|No tiene condecoración,Masculino,False,False
53,Mariana,2949195192,27,458,Colfondos,Madrid,España,,Masculino,True,False
54,Lucia,5232060336,64,414,Mininterior,París,Francia,Tiene observación disciplinaria,Femenino,True,False
